Profile
Address,3131 Las Vegas Boulevard South
City,Las Vegas
State,-
Country,United States
Phone,702-770-7555
Website,http://www.wynnresorts.com
Sector,Consumer Cyclical
Industry,Resorts & Casinos
Full Time Employees,30200

Key Executives
Name,Title,Pay,Exercised,Year Born
Mr. Matthew Ode Maddox,CEO & Director,5096683,2083417,1976
Mr. Craig Scott Billings,"Pres, CFO & Treasurer",1856795,0,1973
Ms. Ellen F. Whittemore,"Exec. VP, Gen. Counsel & Sec.",868042,0,1957
