ticker,index_ticker,comment
6857.T,N225,Electric Appliances
8267.T,N225,Retail Trade
5201.T,N225,Glass & Ceramics Products
2802.T,N225,Foods
6770.T,N225,Electric Appliances
6113.T,N225,Machinery
9202.T,N225,Air Transportation
8304.T,N225,Banks
2502.T,N225,Foods
3407.T,N225,Chemicals
4503.T,N225,Pharmaceutical
7832.T,N225,Other Products
5108.T,N225,Rubber Products
7751.T,N225,Electric Appliances
MSJP.T,N225,Other
6952.T,N225,Electric Appliances
9022.T,N225,Land Transportation
8331.T,N225,Banks
9502.T,N225,Electric Power & Gas
4519.T,N225,Pharmaceutical
7762.T,N225,Precision Instruments
1721.T,N225,Construction
7186.T,N225,Banks
8253.T,N225,Other Financing Business
4751.T,N225,Services
7912.T,N225,Other Products
8750.T,N225,Insurance
4568.T,N225,Pharmaceutical
6367.T,N225,Machinery
4506.T,N225,Pharmaceutical
1925.T,N225,Construction
8601.T,N225,Securities
2432.T,N225,Services
4061.T,N225,Chemicals
6902.T,N225,Transportation Equipment
4324.T,N225,Services
4631.T,N225,Chemicals
5714.T,N225,Nonferrous Metal
9020.T,N225,Land Transportation
6361.T,N225,Machinery
4523.T,N225,Pharmaceutical
8028.T,N225,Retail Trade
6954.T,N225,Electric Appliances
9983.T,N225,Retail Trade
6504.T,N225,Electric Appliances
4901.T,N225,Chemicals
5803.T,N225,Nonferrous Metal
6702.T,N225,Electric Appliances
8354.T,N225,Banks
5801.T,N225,Nonferrous Metal
6674.T,N225,Electric Appliances
1808.T,N225,Construction
7205.T,N225,Transportation Equipment
6305.T,N225,Machinery
6501.T,N225,Electric Appliances
7004.T,N225,Machinery
7267.T,N225,Transportation Equipment
5019.T,N225,Oil & Coal Products
7013.T,N225,Machinery
1605.T,N225,Mining
3099.T,N225,Retail Trade
7202.T,N225,Transportation Equipment
8001.T,N225,Wholesale Trade
3086.T,N225,Retail Trade
6178.T,N225,Services
5631.T,N225,Machinery
2914.T,N225,Foods
5411.T,N225,Iron & Steel
1963.T,N225,Construction
JPY.T,N225,Other
6473.T,N225,Machinery
5020.T,N225,Oil & Coal Products
1812.T,N225,Construction
9503.T,N225,Electric Power & Gas
4452.T,N225,Chemicals
7012.T,N225,Transportation Equipment
9107.T,N225,Marine Transportation
9433.T,N225,Information & Communication
9008.T,N225,Land Transportation
9009.T,N225,Land Transportation
2801.T,N225,Foods
2503.T,N225,Foods
5406.T,N225,Iron & Steel
6301.T,N225,Machinery
9766.T,N225,Information & Communication
4902.T,N225,Electric Appliances
6326.T,N225,Machinery
3405.T,N225,Chemicals
6971.T,N225,Electric Appliances
4151.T,N225,Pharmaceutical
2413.T,N225,Services
8002.T,N225,Wholesale Trade
1333.T,N225,"Fishery, Agriculture & Forestry"
8252.T,N225,Retail Trade
8628.T,N225,Securities
7261.T,N225,Transportation Equipment
2269.T,N225,Foods
6479.T,N225,Electric Appliances
4188.T,N225,Chemicals
8058.T,N225,Wholesale Trade
6503.T,N225,Electric Appliances
8802.T,N225,Real Estate ex REIT
