ticker,index_ticker,comment
AALB.AS,AEX,Aalberts
ABN.AS,AEX,ABN AMRO
ADYEN.AS,AEX,Adyen
AGN.AS,AEX,Aegon
AD.AS,AEX,Ahold Delhaize
AKZA.AS,AEX,Akzo Nobel
MT.AS,AEX,ArcelorMittal
ASML.AS,AEX,ASML
ASRNL.AS,AEX,ASR Nederland
DSM.AS,AEX,DSM
GLPG.AS,AEX,Galapagos
HEIA.AS,AEX,Heineken
IMCD.AS,AEX,IMCD
INGA.AS,AEX,ING Group
KPN.AS,AEX,KPN
NN.AS,AEX,Nationale Nederlanden
PHIA.AS,AEX,Philips
PRX.AS,AEX,Prosus
RAND.AS,AEX,Randstad Holding
REN.AS,AEX,RELX
RDSA.AS,AEX,Royal Dutch Shell
URW.AS,AEX,Unibail-Rodamco-Westfield
UNA.AS,AEX,Unilever
WKL.AS,AEX,Wolters Kluwer
VPK.AS,AEX,Vopak
AF.AS,AMX,Air France-KLM
ATC.AS,AMX,Altice
AMG.AS,AMX,AMG
APAM.AS,AMX,Aperam
ARCAD.AS,AMX,Arcadis
ASM.AS,AMX,ASM International
BAMNB.AS,AMX,Koninklijke BAM Groep
BFIT.AS,AMX,Basic-Fit
BESI.AS,AMX,BE Semiconductor
BOKA.AS,AMX,Boskalis
CRBN.AS,AMX,Corbion
ECMPA.AS,AMX,Eurocommercial Properties
FLOW.AS,AMX,Flow Traders
FUR.AS,AMX,Fugro
GVNV.AS,AMX,GrandVision
INTER.AS,AMX,Intertrust
OCI.AS,AMX,OCI
PNL.AS,AMX,PostNL
SBMO.AS,AMX,SBM Offshore
LIGHT.AS,AMX,Signify
TWEKA.AS,AMX,TKH Group
TOM2.AS,AMX,TomTom
WDP.AS,AMX,WDP
WHA.AS,AMX,Wereldhave
ABI.BR,BFX,Anheuser-Busch
INGA.BR,BFX,ING Groep
ENGI.BR,BFX,ENGIE
KBC.BR,BFX,KBC Groep
UCB.BR,BFX,UCB
GBLB.BR,BFX,Group Bruxelles
SOLB.BR,BFX,Solvay
UMI.BR,BFX,Umicore
AGS.BR,BFX,Ageas
GLPG.BR,BFX,Galapagos
COLR.BR,BFX,Colruyt
PROX.BR,BFX,Proximus
SOF.BR,BFX,Sofina
TNET.BR,BFX,Telenet Group Holding
