RAPID7,US7534221046
CLOUDFLARE,US18915M1071
NOKIA ADR,US6549022043
DASSAULT SYSTEMES,FR0014003TT8
ORACLE,US68389X1054
ALPHABET A,US02079K3059
CYBERARK SOFTWARE,IL0011334468
AUTODESK,US0527691069
AMD,US0079031078
ACCENTURE,IE00B4BNMY34
WIPRO ADR,US97651M1099
PALO ALTO NETWORKS,US6974351057
INTUIT,US4612021034
CADENCE DESIGN SYSTEMS,US1273871087
APPLE,US0378331005
ADOBE,US00724F1012
PRIMAX ELECTRONICS,TW0004915004
MICROSOFT,US5949181045
ASPEN TECH.,US0453271035
ANSYS,US03662Q1058
COGNEX,US1924221039
MEGACHIPS,JP3920860008
DROPBOX,US26210C1045
AMAZON,US0231351067
EBAY,US2786421030
CISCO,US17275R1023
LITE-ON TECHNOLOGY,TW0002301009
SYNOPSYS,US8716071076
NHN,KR7035420009
MOTOROLA SOLUTIONS,US6200763075
YOKOGAWA ELECTRIC,JP3955000009
FACEBOOK,US30303M1027
NEC,JP3733000008
SAP ST.,DE0007164600
AVNET,US0538071038
TWITTER,US90184L1026
SUMO LOGIC RG,US86646P1030
OPEN TEXT,CA6837151068
TREND MICRO,JP3637300009
BROADCOM RG,US11135F1012
MITEK SYSTEMS,US6067102003
CERENCE,US1567271093
NOVATEK MICROELECTRONICS,TW0003034005
JFROG LTD,IL0011684185
JUNIPER NETWORKS,US48203R1041
MONGODB,US60937P1066
SALESFORCE.COM,US79466L3024
VERIZON,US92343V1044
HEWLETT PACKARD ENTERPRISE,US42824C1099
RAKUTEN,JP3967200001
FUJITSU,JP3818000006
NXP SEMICONDUCTORS,NL0009538784
KOH YOUNG TECHNOLOGY,KR7098460009
NIPPON T&T,JP3735400008
NVIDIA,US67066G1040
AT&T,US00206R1023
SAMSUNG SDS CO,KR7018260000
SPLUNK,US8486371045
COMMVAULT SYSTEMS,US2041661024
ORANGE,FR0000133308
DELL TECH RG-C,US24703L2025
COMPAL ELECTRONICS,TW0002324001
IBM,US4592001014
NCR CORPORATION,US62886E1082
NETAPP,US64110D1046
CIRRUS LOGIC,US1727551004
SAMSUNG ELECTRONICS,KR7005930003
HIGH TECH COMPUTER,TW0002498003
SYNAPTICS,US87157D1090
INTEL,US4581401001
HEWLETT-PACKARD,US40434L1052
BOX INC,US10316T1043
VERINT SYS.,US92343X1000
FARO TECHNOLOGIES,US3116421021
MICROSTRATEGY,US5949724083
BANK OF AMERICA,US0605051046
8X8,US2829141009
ACER,TW0002353000
AVAYA HOLDINGS,US05351X1019
NORTONLIFELOCK RG,US6687711084
MACRONIX INTL.,TW0002337003
NETGEAR,US64111Q1040
WISTRON,TW0003231007
BT GROUP,GB0030913577
UBER,US90353T1007
TELECOM ITALIA,IT0003497168
ALIBABA GR.,US01609W1027
APPEN,AU000000APX3
GROUPON,US3994732069
BLACKBERRY,CA09228F1036
CITRIX,US1773761002
PALANTIR TECHNOLOGIES,US69608A1088
TENCENT HLDGS.,KYG875721634
BAIDU.COM ADR,US0567521085
PLANTRONICS,US7274931085
NEW TAIWAN DOLLAR,_CURRENCYTWD
PROOFPOINT,US7434241037
SOUTH KOREAN WON,_CURRENCYKRW
JAPANESE YEN,_CURRENCYJPY
AUSTRALIAN DOLLAR,_CURRENCYAUD
SWEDISH KRONA,_CURRENCYSEK
HONG KONG DOLLAR,_CURRENCYHKD
EURO CURRENCY,_CURRENCYEUR
POUND STERLING,_CURRENCYGBP
CANADIAN DOLLAR,_CURRENCYCAD
US DOLLAR,_CURRENCYUSD
