,current_ratio,div_yield,enterprise_to_ebitda,enterprise_to_sales,eps,forward_eps,forward_pe,industry,market_cap,peg_ratio,quick_ratio,sector,ticker,trailing_pe
0,4.527,0.0008,72.077,26.101,2.12,17.29,11.78,Semiconductors,507520745472.0,1.9500000000000002,3.919,Technology,NVDA,96.29
1,2.7030000000000003,,44.958,9.777,2.84,2.71,40.63,Semiconductors,133560123392.0,1.35,2.012,Technology,AMD,38.81
2,1.778,,-136.243,28.651,-3.59,-1.11,-272.72,Electronic Gaming & Multimedia,158756651008.0,,1.2610000000000001,Communication Services,SE,
3,1.16,0.0036000002,3.715,1.322,2.85,2.71,21.3,Internet Content & Information,559934734336.0,53.8,0.975,Communication Services,TCEHY,20.26
4,4.138,0.0424,7.546,2.7439999999999998,3917.31,2146.97,24.41,Electronic Gaming & Multimedia,6243236184064.0,,3.629,Communication Services,7974.T,13.38
5,4.097,,-92.078,33.784,-1.75,,,Software—Application,29897617408.0,-4.52,3.965,Technology,U,
6,4.832,0.0057,17.15,6.499,3.33,4.44,18.57,Electronic Gaming & Multimedia,64106471424.0,1.56,4.575,Communication Services,ATVI,24.75
7,2.281,0.0098,-0.34900000000000003,-0.081,2.96,4.96,17.54,Internet Content & Information,58497146880.0,90.65,2.065,Communication Services,NTES,29.34
8,1.893,0.005,31.884,6.549,2.33,7.1,19.2,Electronic Gaming & Multimedia,38956974080.0,0.93,1.73,Communication Services,EA,58.54
9,1.854,,17.876,4.519,5.61,7.03,22.52,Electronic Gaming & Multimedia,18444800000.0,2.69,1.444,Communication Services,TTWO,28.2
10,2.821,0.006200000000000001,12.957,2.001,257.79,292.82,26.51,Leisure,1705541107712.0,,1.685,Consumer Cyclical,7832.T,30.12
11,3.157,0.010400000000000001,21.483,6.945,,,,Electronic Gaming & Multimedia,16959890522112.0,,3.097,Communication Services,036570.KS,
12,1.439,,-155.471,37.456,-1.47,,,Electronic Gaming & Multimedia,44401229824.0,100.09,1.214,Communication Services,RBLX,
13,4.183,,-5.398,0.723,-1.48,-1.09,-72.18,Electronic Gaming & Multimedia,30127753216.0,-33.92,3.73,Communication Services,BILI,
14,9.878,0.0023999999,10.142,4.472,57.18,105.37,20.2,Electronic Gaming & Multimedia,1891055697920.0,,9.735,Communication Services,3659.T,37.22
15,1.311,,17.244,3.444,-0.16,0.47000000000000003,17,Electronic Gaming & Multimedia,8699192320.0,2.17,1.168,Communication Services,ZNGA,
16,4.697,,25.069,7.203,0.72,,,Electronic Gaming & Multimedia,95140331520.0,,4.628,Communication Services,EMBRAC-B.ST,262.14
17,3.752,0.0114,8.267,2.609,308.14,295.21,21.61,Electronic Gaming & Multimedia,849898962944.0,,3.419,Communication Services,9766.T,20.7
18,4.578,0.0119,10.962,4.589,161.35,136.06,22.16,Electronic Gaming & Multimedia,643705470976.0,,3.751,Communication Services,9697.T,18.69
19,2.297,,14.045,2.874,0.85,,,Electronic Gaming & Multimedia,6090299904.0,,2.237,Communication Services,UBI.PA,58.82
20,1.788,0.041100003,7.893,0.642,12.77,8.14,18.24,Computer Hardware,125461118976.0,,1.115,Technology,2377.TW,11.63
21,6.77,0.0057,16.708,5.607,-1.26,0.55,64,Electronic Gaming & Multimedia,48155004928.0,,6.421,Communication Services,3888.HK,
22,3.099,0.0287,14.155,7.368,10.89,,,Electronic Gaming & Multimedia,17450653696.0,,3.058,Communication Services,CDR.WA,15.99
23,1.187,0.0056,26.505,4.365,,,,Electronic Gaming & Multimedia,11184072818688.0,,1.1219999999999999,Communication Services,251270.KS,
24,4.1370000000000005,0.0095,13.346,1.8980000000000001,210.76,252.35,25.4,Electronic Gaming & Multimedia,765418078208.0,,2.613,Communication Services,9684.T,30.41
25,1.1280000000000001,,16.609,4.6850000000000005,1.87,10.92,5.19,Electronic Gaming & Multimedia,20574332928.0,,1.1280000000000001,Communication Services,SF.ST,30.32
