,current_ratio,div_yield,enterprise_to_ebitda,enterprise_to_sales,eps,forward_eps,forward_pe,industry,market_cap,peg_ratio,quick_ratio,sector,ticker,trailing_pe
0,3.152,,24.094,8.264,92.19,105.69,27.46,Internet Content & Information,1940590297088.0,1.1,3.027,Communication Services,GOOGL,31.48
1,2.08,0.0074,27.636,13.287,8.05,10.03,30.24,Software—Infrastructure,2279690731520.0,2.14,1.8980000000000001,Technology,MSFT,37.68
2,5.033,,29.599,9.635,9.16,11.89,30.97,Computer Hardware,28252422144.0,2.86,4.24,Technology,ANET,40.2
3,2.3,0.0143,16.21,7.187,4.55,5.13,17.38,Software—Infrastructure,248920752128.0,1.7000000000000002,2.184,Technology,ORCL,19.59
4,1.196,,29.159,3.902,57.4,66.78,51.72,Internet Retail,1749085061120.0,1.76,0.989,Consumer Cyclical,AMZN,60.17
5,3.335,,-118.714,38.882,-4.62,-0.9,-440.41,Software—Infrastructure,25621395456.0,,3.151,Technology,MDB,
6,1.109,,21.43,5.097,4.87,7.51,19.86,Software—Infrastructure,62487228416.0,2.79,1.036,Technology,VMW,30.62
7,1.758,,1.7770000000000001,0.356,8.3,73.09,2.29,Internet Retail,454721372160.0,1.2,1.313,Consumer Cyclical,BABA,20.18
8,1.121,,10.987,2.3890000000000002,-1.33,1.07,13.03,Software—Infrastructure,2915341824.0,1.04,0.9380000000000001,Technology,RXT,
9,0.929,0.031400003,6.997,1.159,0.49,1.9500000000000002,7.91,Communication Equipment,20130910208.0,0.67,0.634,Technology,HPE,31.27
10,0.5750000000000001,0.08360000000000001,5.161,2.166,-0.87,1.28,9.56,Telecom Services,13522488320.0,-0.6900000000000001,0.446,Communication Services,LUMN,
11,2.431,,-4.991,0.294,-0.57,-0.96,-33.49,Software—Application,7192122880.0,,2.23,Technology,KC,
12,3.48,,18.035,5.9030000000000005,3.51,6.14,18.42,Software—Infrastructure,18411188224.0,1.67,3.202,Technology,AKAM,32.21
13,1.49,0.025,15.12,4.743,2.5,3.43,17.13,Communication Equipment,247647469568.0,2.66,1.32,Technology,CSCO,23.51
14,0.705,,622.841,42.864,-2.79,1.6099999999999999,227.61,Software—Application,92314984448.0,12.7,0.613,Technology,TEAM,
15,0.758,,105.35,17.827,-43.84,6.2,112.28,Software—Application,6826042368.0,10.47,0.687,Technology,MSTR,
16,0.84,0.047199998,11.038,2.373,5.92,11.84,11.84,Information Technology Services,125637173248.0,0.81,0.664,Technology,IBM,23.69
17,1.081,,199.352,24.41,0.85,7.22,89.01,Software—Application,127313911808.0,4.14,0.963,Technology,NOW,756.09
18,1.315,,55.193,21.975,11.54,14.04,47.22,Software—Infrastructure,315836530688.0,2.75,1.179,Technology,ADBE,57.45
19,16.553,,350.958,48.422,19.47,6.43,239.28,Software—Application,191820103680.0,7.61,15.586,Technology,SHOP,79.03
