,current_ratio,div_yield,enterprise_to_ebitda,enterprise_to_sales,eps,forward_eps,forward_pe,industry,market_cap,peg_ratio,quick_ratio,sector,ticker,trailing_pe
0,3.104,,22.842,7.317,75.04,95.09,28.42,Internet Content & Information,1829092458496.0,1.26,2.95,Communication Services,GOOGL,36.01
1,2.294,0.0081,27.091,12.799,7.34,8.36,34.28,Software—Infrastructure,2158698561536.0,1.9500000000000002,2.096,Technology,MSFT,39.06
2,5.089,,31.157,10.1,8.53,11.45,33.03,Computer Hardware,28868720640.0,2.85,4.333,Technology,ANET,44.33
3,2.3,0.0146,15.953,7.073,4.55,5.12,17.5,Software—Infrastructure,250135265280.0,1.52,2.184,Technology,ORCL,19.69
4,1.052,,32.918,4.49,52.56,72.27,46.38,Internet Retail,1690529431552.0,1.6099999999999999,0.843,Consumer Cyclical,AMZN,63.77
5,3.335,,-116.237,38.07,-4.62,-0.91,-395.05,Software—Infrastructure,22339366912.0,,3.151,Technology,MDB,
6,1.027,,24.7,5.837,4.86,7.58,20.7,Software—Infrastructure,65748852736.0,2.91,0.969,Technology,VMW,32.29
7,1.705,,3.243,0.581,8.44,11.91,16.42,Internet Retail,530537873408.0,41.81,1.2810000000000001,Consumer Cyclical,BABA,23.19
8,1.118,,12.935,2.877,,,,Software—Infrastructure,3591271424.0,1.03,0.9420000000000001,Technology,RXT,
9,0.929,0.032899998,6.788,1.124,0.49,1.9500000000000002,7.56,Communication Equipment,19242876928.0,0.74,0.634,Technology,HPE,29.89
10,0.423,0.0712,5.527,2.285,,,,Telecom Services,13987696640.0,2.64,0.313,Communication Services,LUMN,
11,2.63,,-5.852,0.396,,,,Software—Application,6553442816.0,,2.355,Technology,KC,
12,3.022,,19.281,6.266,3.37,5.89,20.34,Software—Infrastructure,19558789120.0,1.48,2.733,Technology,AKAM,35.55
13,1.5270000000000001,0.026800001,14.545,4.543,2.42,3.4,16.5,Communication Equipment,236435161088.0,2.7800000000000002,1.357,Technology,CSCO,23.19
14,0.783,,477.847,33.943,-3.49,1.45,227.21,Software—Application,82382929920.0,8.82,0.6880000000000001,Technology,TEAM,
15,0.884,,86.345,14.287,-12.31,6.71,92.46,Software—Application,6047174144.0,11.86,0.8270000000000001,Technology,MSTR,
16,0.931,0.0473,11.005,2.36,5.98,12.05,11.92,Information Technology Services,128327770112.0,0.8,0.759,Technology,IBM,24.02
17,1.235,,174.741,22.17,0.76,7.08,81.95,Software—Application,114561310720.0,4.91,1.119,Technology,NOW,763.43
18,1.315,,47.849,19.051,11.54,14.03,44.09,Software—Infrastructure,295676477440.0,2.2800000000000002,1.179,Technology,ADBE,53.61
19,17.134,,425.542,52.419,12.79,4.99,302.91,Software—Application,186426064896.0,9.55,16.346,Technology,SHOP,118.2
20,2.8369999999999997,,-911.155,27.937,-1.99,2.37,243.99,Software—Application,27019661312.0,9.51,2.674,Technology,HUBS,
21,2.159,,-30.541,10.125,-6.66,-0.5,-280.8,Software—Infrastructure,23333216256.0,2.17,1.889,Technology,SPLK,
22,0.6880000000000001,0.0128999995,26.866,5.472,3.28,6.88,14.98,Software—Application,12794787840.0,2.06,0.555,Technology,CTXS,31.39
23,4.798,,822.388,26.622,-0.72,1.18,169.89,Software—Infrastructure,13440110592.0,7.43,4.459,Technology,FIVN,
24,12.19,,-167.122,32.146,-3.92,0.14,2620.5,Internet Content & Information,62061559808.0,-122.16,11.932,Communication Services,TWLO,
25,1.738,0.0257,14.085,2.707,3.23,5.1,15.97,Computer Hardware,18217144320.0,1.76,1.607,Technology,NTAP,25.22
26,2.662,,-32.036,3.044,-1.01,0.52,38.66,Computer Hardware,5694841856.0,1.1400000000000001,2.33,Technology,PSTG,
27,11.877,,-67.329,20.894,-1.24,-0.25,-184.64,Software—Application,5340711936.0,-5.51,11.689,Technology,FSLY,
28,1.334,,61.911,9.629,4.38,4.15,57.92,Software—Application,221686382592.0,6.12,1.188,Technology,CRM,54.88
29,0.8230000000000001,,-38.968,11.294,-2.6,-0.97,-91.53,Software—Application,2812603648.0,,0.685,Technology,DOMO,
30,2.5,,-280.513,30.469,-0.51,-0.49,-229.61,Software—Infrastructure,7887626240.0,,2.179,Technology,APPN,
31,1.196,0.016,22.636,6.178,5.49,6.23,23.22,Software—Application,169638445056.0,2.36,1.111,Technology,SAP,26.35
32,2.429,,-54.259,40.987,,,,Software—Application,11820622848.0,,2.289,Technology,ASAN,
33,1.012,,-810.493,35.834,-1.31,1.8399999999999999,158.41,Software—Application,56707235840.0,2.49,0.9530000000000001,Technology,DOCU,
34,6.779,,-536.026,66.18,-0.72,-0.16,-744.31,Software—Infrastructure,36992446464.0,,6.602,Technology,NET,
35,2.247,,-161.353,11.889,-1.0,0.04,3181.5,Software—Application,6353659392.0,,2.137,Technology,WK,
36,2.972,,-201.043,32.464,-1.48,-0.65,-136.91,Software—Application,4886841344.0,,2.718,Technology,SPT,
37,2.198,,-277.785,21.554,-0.61,0.06,2755.83,Software—Application,14220711936.0,10.27,1.984,Technology,AVLR,
38,1.416,,-115.487,21.303,-1.38,-0.48,-301.85,Software—Application,13006021632.0,-94.06,1.252,Technology,ESTC,
39,5.445,,-2102.463,47.856,-0.12,-0.06,-1905.5,Software—Application,35257430016.0,,5.305,Technology,DDOG,
40,1.082,,94.056,23.791,2.49,5.49,73.06,Software—Application,24139823104.0,3.5700000000000003,0.097,Technology,PAYC,161.09
41,1.099,,110.264,16.397,1.19,2.06,98.69,Software—Application,11054112768.0,5.12,0.105,Technology,PCTY,171.13
42,1.783,,-76.752,21.052,-1.02,-0.26,-275.9,Software—Application,8974909440.0,,1.726,Technology,SMAR,
43,3.019,,-184.524,48.956,-1.72,0.56,434.84,Software—Infrastructure,33357705216.0,6.28,2.8970000000000002,Technology,ZS,
44,3.315,,-112.633,16.693,-2.56,0.03,4678.83,Software—Application,5356679680.0,-1.6099999999999999,3.16,Technology,EVBG,
45,1.964,0.0045000000000000005,49.352,15.892,7.89,10.79,48.91,Software—Application,144217915392.0,2.8200000000000003,1.7229999999999999,Technology,INTU,66.91
46,2.074,,-1012.955,56.251,-0.72,0.7000000000000001,365.67,Software—Infrastructure,57800843264.0,8.25,1.929,Technology,CRWD,
47,1.892,,39.597,6.227,-0.61,1.52,20.77,Software—Infrastructure,12339986432.0,1.16,1.83,Technology,DBX,
48,3.516,,102.162,29.237,2.53,4.04,83.13,Health Information Services,51357851648.0,4.69,3.473,Healthcare,VEEV,132.75
49,3.495,,108.005,32.066,2.9,4.68,80.24,Software—Application,110640316416.0,4.39,3.321,Technology,ZM,129.48
50,1.26,,-52.325,16.315,-1.17,-0.21,-268.69,Software—Infrastructure,8166502912.0,,1.097,Technology,PLAN,
51,1.282,,44.338,6.422,0.42,1.19,49.97,Software—Infrastructure,3828195328.0,2.61,1.178,Technology,MIME,142.93
52,5.433,,-109.349,98.293,-3.23,-0.52,-542.95,Software—Application,83599687680.0,,5.273,Technology,SNOW,
53,5.106,,-2546.681,17.121,-1.28,0.68,168.16,Software—Infrastructure,6637605888.0,24.65,5.022,Technology,BL,
54,1.54,0.0159,15.406,4.845,0.56,3.42,15.15,Software—Application,14154389504.0,1.65,1.435,Technology,OTEX,92.52
55,1.377,,-15956.428,9.204,-4.56,7.12,55.97,Software—Infrastructure,38811734016.0,2.4,1.245,Technology,PANW,
56,4.022,,-140.708,14.134,-2.4,0.51,192.88,Software—Application,5538752512.0,11.79,3.6870000000000003,Technology,QTWO,
57,1.165,,-49.827,8.259,,,,Software—Application,3024963584.0,,1.091,Technology,MNTV,
58,4.216,,339.95,15.714,4.39,0.5700000000000001,244.9,Software—Application,4816348672.0,21.65,3.732,Technology,APPF,31.81
59,1.859,,26.421,9.426,2.24,2.93,35.74,Software—Infrastructure,4103783936.0,5,1.784,Technology,QLYS,46.75
60,0.76,,-50.696,5.909,-0.91,0.99,24.78,Software—Infrastructure,3994027776.0,3.47,0.662,Technology,BOX,
61,0.928,,358.868,13.005,-0.71,3.52,66.45,Software—Application,57778241536.0,5.46,0.865,Technology,WDAY,
62,1.379,,-60.94,5.104,-3.87,0.45,94.29,Health Information Services,1054101248.0,8.63,1.169,Healthcare,TRHC,
63,1.746,,-168.545,16.141,-1.93,1.06,121.05,Software—Application,15223981056.0,7.42,1.596,Technology,ZEN,
64,0.769,,-172.287,33.542,-2.63,0.61,357.16,Software—Application,15991486464.0,-86.74,0.712,Technology,COUP,
