,current_ratio,div_yield,enterprise_to_ebitda,enterprise_to_sales,eps,forward_eps,forward_pe,industry,market_cap,peg_ratio,quick_ratio,sector,ticker,trailing_pe
0,1.883,0.015300000000000001,0.149,0.10200000000000001,3.83,4.65,25.48,Semiconductors,614520258560.0,1.88,1.62,Technology,TSM,30.9
1,4.527,0.0008,68.978,24.979,2.12,17.29,11.41,Semiconductors,491522097152.0,1.9500000000000002,3.919,Technology,NVDA,93.26
2,1.912,0.0043,53.081,18.886,13.63,17.9,43.42,Semiconductor Equipment & Materials,318472519680.0,1.5,1.209,Technology,ASML,57.03
3,2.7030000000000003,,43.283,9.413,2.84,2.71,41.98,Semiconductors,137987473408.0,1.35,2.012,Technology,AMD,40.1
4,1.718,0.0182,14.523,5.274,8.0,8.63,17.15,Semiconductors,166904512512.0,0.67,1.384,Technology,QCOM,18.49
5,2.213,0.0297,17.618,9.004,10.76,29.96,16.25,Semiconductors,199756070912.0,2.01,1.8559999999999999,Technology,AVGO,45.26
6,5.078,0.021400000000000002,21.077,10.436,7.17,7.86,24.1,Semiconductors,174892908544.0,2.5700000000000003,4.08,Technology,TXN,26.42
7,1.988,0.025899999,6.594,2.944,4.5,4.57,11.84,Semiconductors,219564834816.0,2.26,1.301,Technology,INTC,12.02
8,3.105,0.006900000000000001,20.943,6.397,4.8,7.37,19.23,Semiconductor Equipment & Materials,129547673600.0,0.84,2.142,Technology,AMAT,29.52
9,1.045,0.0165,23.769,10.597,4.19,6.98,24.13,Semiconductors,62110466048.0,2.05,0.763,Technology,ADI,40.19
10,3.398,,7.732,3.385,3.62,11.44,7.08,Semiconductors,91129462784.0,0.21,2.303,Technology,MU,22.34
11,3.303,0.0082,18.836,6.167,26.9,32.47,19.81,Semiconductor Equipment & Materials,91647377408.0,0.75,2.482,Technology,LRCX,23.91
12,1.7770000000000001,0.0109,23.55,6.848,1.5,10.63,19.69,Semiconductors,57727639552.0,1.27,1.181,Technology,NXPI,139.38
13,2.6630000000000003,0.011600000000000001,19.157,7.555,11.91,16.99,20.29,Semiconductor Equipment & Materials,52839370752.0,1.29,1.845,Technology,KLAC,28.95
14,5.998,,32.603,9.733,2.62,3.83,38.2,Semiconductors,35976724480.0,4.43,5.386,Technology,XLNX,55.85
15,0.89,0.011300000000000001,22.688,8.982,1.29,8.54,17.18,Semiconductors,40126996480.0,1.77,0.531,Technology,MCHP,113.72
16,1.627,0.0041,71.468,16.759,-0.37,1.85,32.95,Semiconductors,49947467776.0,0.9500000000000001,1.049,Technology,MRVL,
17,1.703,,40.017,12.411,2.34,3.35,44.82,Software—Application,41778651136.0,3.32,1.437,Technology,CDNS,64.16
18,5.209,0.011600000000000001,15.783,6.199,7.22,10.85,17.37,Semiconductors,31122505728.0,1.15,3.564,Technology,SWKS,26.1
19,2.491,0.0067000003,12.475,2.8689999999999998,1.38,1.98,21.17,Semiconductors,37864824832.0,4.47,1.7429999999999999,Technology,STM,30.38
20,3.644,,14.652,5.091,6.32,12.35,15.74,Semiconductors,21886912512.0,0.96,2.773,Technology,QRVO,30.76
21,5.378,,26.957,10.556000000000001,2.89,3.44,28.78,Semiconductors,26572060672.0,1.46,4.874,Technology,MXIM,34.24
22,3.641,0.0031000000000000003,19.164,6.336,4.4,5.77,21.92,Semiconductor Equipment & Materials,21025998848.0,1.81,2.753,Technology,TER,28.75
23,1.843,,15.832,3.333,0.79,2.31,19.59,Semiconductors,19322112000.0,2.32,0.998,Technology,ON,57.57
24,5.768,0.0037,44.099,20.984,3.08,5.43,42.22,Semiconductor Equipment & Materials,10806775808.0,1.57,5.07,Technology,OLED,74.41
