,current_ratio,div_yield,enterprise_to_ebitda,enterprise_to_sales,eps,forward_eps,forward_pe,industry,market_cap,peg_ratio,quick_ratio,sector,ticker,trailing_pe
0,2.018,,83.668,8.805,0.57,,,Electrical Equipment & Parts,1947090304.0,,1.647,Industrials,ALFEN.AS,157.46
1,1.333,0.0011,68.234,19.177,0.83,1.16,90.95,Specialty Chemicals,100532002816.0,,0.9520000000000001,Basic Materials,002709.SZ,126.65
2,,,,,,,,,,,,,BLNK US,
3,2.411,0.0176,-82.205,0.526,-130.95,,,Specialty Industrial Machinery,7209004032.0,,1.504,Industrials,6121.T,
4,,,,,,,,,,,,,UMI,
5,2.214,0.0033000002,37.882,8.53,1.41,,,Specialty Chemicals,49315700736.0,,1.923,Basic Materials,300037.SZ,85.38
6,1.219,0.014099999,7.047,1.2,626.78,797.73,15.43,Electronic Components,1555036110848.0,,0.866,Technology,6762.T,19.64
7,1.804,,92.236,17.432,2.98,2.09,254.07,Electrical Equipment & Parts,1236704296960.0,,1.479,Industrials,300750.SZ,178.19
8,6.674,,-55.152,27.529,-0.1,0.06,80.33,Other Industrial Metals & Mining,2437329664.0,,6.397,Basic Materials,GXY.AX,
9,1.383,,73.202,6.649,0.14,0.84,61.77,Electrical Equipment & Parts,66447220736.0,,0.998,Industrials,002074.SZ,370.64
10,2.498,0.0073,13.984,1.5859999999999999,3.32,6.53,14.9,Electrical Equipment & Parts,4167329536.0,1.87,1.6440000000000001,Industrials,ENS,29.31
11,2.54,0.040999997,8.729,3.484,3.39,1.57,38.31,Other Industrial Metals & Mining,11350583296.0,,2.276,Basic Materials,MIN.AX,17.76
12,1.5150000000000001,0.0014,54.494,7.063,1.5,0.62,232.23,Electrical Equipment & Parts,209770217472.0,,1.123,Industrials,300274.SZ,95.99
13,1.355,,45.634,4.927,,,,,5961817784320.0,,0.494,,247540.KQ,
14,2.108,0.0089,27.108,6.9190000000000005,3.35,5.09,40.08,Specialty Chemicals,23811287040.0,1.6400000000000001,1.22,Basic Materials,ALB,60.88
15,9.424,,-92.825,28.352,-0.93,-0.86,-56.59,Information Technology Services,4964096512.0,5.23,9.309,Technology,AI,
16,4.517,,-109.741,35.574,-0.25,0.18,46.94,Other Industrial Metals & Mining,2908135168.0,,4.078,Basic Materials,ORE.AX,
17,1.6019999999999999,0.020399999000000002,18.818,3.417,6.25,12.01,17.25,Farm & Heavy Construction Machinery,113506951168.0,1.24,1.071,Industrials,CAT,33.13
18,2.442,0.0027,49.905,6.304,1.14,0.92,71.85,Electrical Equipment & Parts,29984346112.0,,1.963,Industrials,300073.SZ,58.14
19,3.835,0.033600000000000005,7.673,0.971,17.13,27.3,11.39,Steel,45646712832.0,,2.12,Basic Materials,5563.T,18.15
20,1.388,0.016,24.916,1.783,0.22,0.9400000000000001,13.71,Specialty Industrial Machinery,7602446336.0,,0.893,Industrials,WRT1V.HE,59.65
21,24.34,,-87.48,,-0.8,,,Electrical Equipment & Parts,436062400.0,,23.841,Industrials,AFC.L,
22,5.533,,-170.596,74.383,-6.1,-7.23,-140.25,Electrical Equipment & Parts,1930767616.0,,5.396,Industrials,CWR.L,
23,1.791,0.018000000000000002,17.756,3.152,0.86,1.02,30.78,Specialty Industrial Machinery,174137802752.0,,1.283,Industrials,600406.SS,36.3
24,0.937,0.0473,8.717,0.992,0.86,0.64,16.42,Utilities—Diversified,27475709952.0,1.01,0.808,Utilities,EOAN.DE,12.15
25,2.018,0.0201,15.141,5.341,6.98,8.6,17.14,Semiconductors,166301024256.0,0.66,1.6400000000000001,Technology,QCOM,21.11
26,1.284,0.0117,8.132,0.681,408.88,396.25,16.33,Conglomerates,372033421312.0,,0.9520000000000001,Industrials,8088.T,15.82
27,1.355,0.023200000000000002,9.936,0.421,106.4,241.73,0.12,Specialty Chemicals,5771153920.0,,0.8140000000000001,Basic Materials,JMAT.L,28.03
28,14.809,0.025500000000000002,3.383,1.223,168.07,49.9,33.19,Software—Application,34194413568.0,,14.724,Technology,2497.T,9.85
29,2.827,,13.221,1.407,-0.97,0.11,87.82,Chemicals,1181137792.0,-1.28,1.7469999999999999,Basic Materials,SGL.DE,
30,1.842,0.0256,17.18,2.283,7.31,,,Specialty Industrial Machinery,107794948096.0,,1.568,Industrials,SIE.DE,18.45
31,10.509,,-10.453,44.876,-0.19,0.38,3.89,Other Industrial Metals & Mining,737352320.0,,8.674,Basic Materials,SYR.AX,
32,1.661,,138.28,17.51,1.0,6.22,113.54,Auto Manufacturers,680311914496.0,3.69,1.2810000000000001,Consumer Cyclical,TSLA,707.62
33,1.188,0.0257,21.407,2.449,2.33,,,Electrical Equipment & Parts,66973200384.0,,0.8290000000000001,Industrials,ABBN.SW,14.32
34,1.802,0.024800000000000003,6.757,0.772,141.91,182.09,15.73,Electrical Equipment & Parts,230663995392.0,,1.069,Industrials,6674.T,20.18
35,1.142,0.020399999000000002,14.4,1.471,5.73,11.07,7.27,Auto Manufacturers,52342345728.0,1.16,0.808,Consumer Cyclical,BMW.DE,14.05
36,4.368,,-88.943,47.454,-0.38,-0.19,-32.42,Electrical Equipment & Parts,1986569216.0,-2.19,2.826,Industrials,FCEL,
37,19.991,0.0115,12.89,5.898,0.18,0.33,28.82,Other Industrial Metals & Mining,7201618432.0,,17.654,Basic Materials,IGO.AX,52.25
38,1.342,0.0117999995,13.162,2.143,,,,Chemicals,69411679502336.0,,0.861,Basic Materials,051910.KS,
39,,,,,,,,,,,,,357780.KS,
40,1.241,0.0002,31.558,3.971,1.52,1.58,177.27,Auto Manufacturers,738747351040.0,,0.79,Consumer Cyclical,002594.SZ,183.78
41,1.554,0.038599998,18.972,1.444,-505.97,1004.47,3.16,Chemicals,462449147904.0,,0.985,Basic Materials,4004.T,
42,1.808,0.0031000000000000003,18.608,1.9460000000000002,-0.45,0.52,196.81,Specialty Industrial Machinery,898406023168.0,17.4,0.899,Industrials,GE,
43,1.076,,11.373,1.482,6.2,6.87,8.39,Auto Manufacturers,83609362432.0,0.68,0.8270000000000001,Consumer Cyclical,GM,9.3
44,1.439,,-28.018,9.292,-3.86,-0.65,-64.98,Software—Application,78877286400.0,-0.68,1.218,Technology,UBER,
45,5.399,0.0088,26.867,8.282,0.62,1.71,27.9,Chemicals,12556918784.0,2.3,2.89,Basic Materials,SQM,76.33
46,0.986,0.0077,16.831,1.858,0.6,0.7000000000000001,39.99,Other Industrial Metals & Mining,39704375296.0,,0.47800000000000004,Basic Materials,600549.SS,46.26
47,,0.1022,,,,,,Asset Management,142412192.0,,,Financial Services,EDF,
48,1.204,0.026300002000000003,13.071,1.106,-5.32,144.04,6.52,Chemicals,1333720383488.0,,0.746,Basic Materials,4188.T,
49,2.868,0.0034000000000000002,6.927,3.5869999999999997,1.54,2.09,5.49,Electrical Equipment & Parts,3066865920.0,-1.23,1.444,Industrials,EAF,7.47
50,2.705,,37.009,7.815,1.41,8.2,10.4,Copper,26410330112.0,,1.7000000000000002,Basic Materials,300618.SZ,60.71
51,2.118,0.0064,69.746,1.471,1.05,-0.79,-57.42,Solar,1573992064.0,,1.119,Technology,S92.DE,43.28
52,1.246,0.0318,21.849,5.204,0.3,,,Copper,16003092480.0,,0.671,Basic Materials,1258.HK,14.2
53,1.2530000000000001,0.0021000000000000003,38.394,5.339,1.42,3.5700000000000003,33.75,Other Industrial Metals & Mining,146130190336.0,,0.848,Basic Materials,603799.SS,84.96
54,1.35,0.0034000000000000002,23.847,5.5120000000000005,0.2,0.34,29.03,Electrical Equipment & Parts,22833356800.0,,1.067,Industrials,300376.SZ,50.62
55,7.697,0.0019,75.047,6.854,,,,Building Materials,11851869978624.0,,6.767,Basic Materials,003670.KS,
56,5.078,0.022,20.455,10.129,6.6,7.84,24.15,Semiconductors,174878507008.0,2.5700000000000003,4.08,Technology,TXN,28.68
57,1.861,0.019199999000000002,11.406,1.134,161.39,430.88,18.0,Auto Parts,6010666745856.0,,1.296,Consumer Cyclical,6902.T,48.06
58,2.289,0.009300000000000001,21.701,3.01,0.84,4.54,21.54,Specialty Industrial Machinery,8421441024.0,1.31,1.612,Industrials,ITT,116.16
59,53.969,0.0854,,20.516,1.29,1.44,10.51,REIT—Mortgage,2117563904.0,146.43,53.444,Real Estate,ARI,11.7
60,1.309,0.009300000000000001,7.967,0.9510000000000001,0.1,0.11,51.64,Other Industrial Metals & Mining,165781012480.0,,0.714,Basic Materials,3993.HK,56.48
61,2.724,0.046,11.803,1.953,140.18,1114.03,3.74,Specialty Chemicals,46090723328.0,,1.6179999999999999,Basic Materials,5302.T,29.71
62,1.158,0.0015,25.839,4.047,,,,Electronic Components,49673981132800.0,,0.7000000000000001,Technology,006400.KS,
63,1.505,0.021300001000000002,24.249,3.726,3.56,6.9,23.56,Specialty Industrial Machinery,64768204800.0,1.4100000000000001,0.679,Industrials,ETN,45.72
64,1.358,0.0196,19.105,3.23,3.81,4.91,29.31,Specialty Industrial Machinery,80064954368.0,,1.114,Industrials,SU.PA,37.77
65,1.042,,23.296,1.217,-29.51,15.03,2.15,Auto Manufacturers,9405243392.0,,0.9440000000000001,Consumer Cyclical,RNO.PA,
66,1.626,0.0047,30.335,4.815,208.25,633.68,19.91,Specialty Industrial Machinery,7385931317248.0,,1.081,Industrials,6594.T,60.58
67,1.7770000000000001,0.0109,23.55,6.848,1.5,10.63,19.62,Semiconductors,57518067712.0,1.27,1.181,Technology,NXPI,138.87
68,1.624,0.0217,7.304,3.066,0.56,0.44,20,Copper,6506394624.0,0.4,1.1360000000000001,Basic Materials,LUNMF,15.71
69,2.363,0.0199,14.297,6.761,1.48,,,Drug Manufacturers—Specialty & Generic,70132211712.0,,1.605,Healthcare,002001.SZ,18.44
70,1.812,0.0497,10.287,1.259,-0.25,,,Chemicals,61244178432.0,,1.193,Basic Materials,BAS.DE,
71,1.399,0.015700001,4.7010000000000005,0.419,76.12,,,Consumer Electronics,3117155090432.0,,1.047,Technology,6752.T,17.55
72,1.242,0.023100000000000002,10.811,3.874,0.06,1.6800000000000002,14.2,Utilities—Diversified,15937811456.0,2.23,0.68,Utilities,AES,372.73
73,1.459,0.0073,7.351,0.526,2.16,2.73,10.96,Engineering & Construction,1607941376.0,1.37,1.396,Industrials,PRIM,13.86
74,,,,,,,,,,,,,ALO.OA,
75,1.236,,7.698,0.551,,,,Specialty Industrial Machinery,784640835584.0,,0.758,Industrials,267260.KS,
76,2.292,0.006900000000000001,22.416,4.842,0.29,0.87,38.26,Semiconductors,43292798976.0,,1.492,Technology,IFX.DE,113.99
77,2.48,0.0199,7.521,0.678,,,,Electrical Equipment & Parts,1920787546112.0,,1.703,Industrials,010120.KS,
78,2.071,0.0287,10.558,1.621,344.29,290.8,15.43,Other Industrial Metals & Mining,1233203625984.0,,0.971,Basic Materials,5713.T,13.04
79,1.933,0.0111,20.352,2.275,-0.03,0.24,12.5,Other Industrial Metals & Mining,14105430016.0,,1.354,Basic Materials,S32.AX,
80,1.554,0.018500000000000003,5.873,0.633,557.18,251.44,22.87,Information Technology Services,1566834688000.0,,1.289,Technology,6701.T,10.32
81,1.143,0.018600000000000002,12.035,1.255,7.31,8.98,8.44,Auto Manufacturers,81037352960.0,,0.8270000000000001,Consumer Cyclical,DAI.DE,10.36
82,1.9649999999999999,0.0108,6.687,0.297,,,,Engineering & Construction,6091173265408.0,,1.487,Industrials,000720.KS,
83,1.9689999999999999,,24.635,3.197,6.66,5.01,33.53,Auto Parts,45432373248.0,0.89,1.526,Consumer Cyclical,APTV,25.21
84,0.965,0.041100003,3.418,0.721,11.21,3.42,17.63,Insurance—Property & Casualty,3339412992.0,0.41000000000000003,0.906,Financial Services,MCY,5.38
85,1.293,0.0178,8.075,0.913,519.29,449.72,13.59,Conglomerates,5909494366208.0,,0.887,Industrials,6501.T,11.77
86,,,,,,,,,,,,,DOWAX,
87,1.25,,4.309,0.14100000000000001,-5.3,18.17,19.65,Engineering & Construction,92451577856.0,,0.9460000000000001,Industrials,6366.T,
88,2.614,0.0179,11.183,3.13,30.4,19.9,27.79,Electronic Components,57223335936.0,,1.94,Technology,3533.TW,18.19
89,1.418,0.023,7.121,0.5710000000000001,101.17,120.7,6.87,Engineering & Construction,631004987392.0,,1.063,Industrials,1803.T,8.19
90,2.428,0.0085,20.408,4.711,2.08,2.5300000000000002,29.11,Electronic Components,44017405952.0,2.5,1.685,Technology,APH,35.33
91,1.061,0.0274,12.164,1.717,543.25,5.32,1890.04,Auto Manufacturers,28113377427456.0,,0.892,Consumer Cyclical,7203.T,18.51
92,2.5540000000000003,0.0111,8.233,0.9490000000000001,60.66,114.15,15.74,Diagnostics & Research,79413387264.0,,2.182,Healthcare,4282.T,29.62
93,4.425,0.0115,14.996,3.158,69.63,309.65,17.79,Electronic Components,129852514304.0,,3.191,Technology,6908.T,79.13
94,1.467,,5.386,0.499,-19.5,67.23,8.45,Electrical Equipment & Parts,156399370240.0,,0.912,Industrials,5803.T,
95,1.326,0.032100000000000004,3.903,0.381,3.44,3.07,10.67,Auto Manufacturers,56574013440.0,,0.989,Consumer Cyclical,HMC,9.52
96,1.835,0.030100000000000002,13.643,3.887,9.77,10.59,19.07,Specialty Industrial Machinery,117065367552.0,2.59,1.191,Industrials,MMM,20.67
97,1.045,0.0165,23.801,10.611,4.19,6.96,24.12,Semiconductors,61929742336.0,1.81,0.763,Technology,ADI,40.07
98,1.544,0.037700000000000004,7.424,0.244,9.15,8.18,13.63,Electronic Components,1545557245952.0,,1.159,Technology,2317.TW,12.18
99,0.89,0.011300000000000001,22.688,8.982,1.29,8.54,17.07,Semiconductors,39886295040.0,1.77,0.531,Technology,MCHP,113.04
100,1.891,0.0304,7.492,0.807,90.03,120.29,12.59,Electrical Equipment & Parts,3247696510976.0,,1.294,Industrials,6503.T,16.82
101,1.053,,44.833,0.617,-1.73,,,Utilities—Independent Power Producers,16861977600.0,,0.7000000000000001,Utilities,ENR.DE,
102,1.716,0.0297,6.943,0.671,29.62,170.95,9.37,Auto Parts,1248615071744.0,,1,Consumer Cyclical,5802.T,54.05
