,market_cap,industry,sector,quick_ratio,current_ratio,trailing_pe,forward_pe,eps,div_yield,enterprise_to_ebitda,enterprise_to_sales,peg_ratio,forward_eps
0,12836561920.0,Software—Application,Technology,2.289,2.429,,,-1.85,,-61.308,46.312,,
1,36849561600.0,Software—Infrastructure,Technology,6.602,6.779,,-741.44,-0.42,,-614.421,75.859,,-0.16
2,12308716544.0,Software—Infrastructure,Technology,1.83,1.892,,20.72,-0.61,,41.199,6.479,1.35,1.52
3,296144535552.0,Software—Infrastructure,Technology,1.179,1.315,53.87,44.31,11.54,,51.505,20.507,2.62,14.03
4,3701165824.0,Software—Infrastructure,Technology,0.662,0.76,,24.16,-0.91,,-49.026,5.714,4.33,0.99
5,2798347520.0,Software—Application,Technology,0.685,0.823,,-105.15,-2.6,,-43.869,12.714,,-0.84
6,81300152320.0,Software—Application,Technology,0.61,0.705,,224.22,-3.49,,516.395,38.79,10.02,1.45
7,3647501824.0,Software—Infrastructure,Technology,1.189,1.282,123.44,38.85,0.45,,48.808,7.134,3.03,1.43
8,4761131008.0,Software—Application,Technology,2.718,2.972,,-136.68,-0.53,,-199.699,32.247,,-0.65
9,6487708672.0,Software—Application,Technology,2.145,2.274,,6488.5,-0.92,,-299.223,16.969,,0.02
10,58068627456.0,Software—Application,Technology,0.953,1.012,,134.86,-1.08,,-810.493,35.834,2.96,2.21
11,19315767296.0,Software—Application,Technology,0.891,1.879,,-646.31,-0.83,,-335.24,81.293,-46.12,-0.32
12,27849512960.0,Software—Application,Technology,2.674,2.837,,251.49,-1.99,,-925.993,28.392,9.73,2.37
13,4469275648.0,Software—Infrastructure,Technology,2.143,2.269,,-1727.0,-3.15,,-31.484,6.281,-5.62,-0.04
14,57267929088.0,Software—Infrastructure,Technology,1.929,2.074,,357.2,-0.72,,-1015.844,56.411,10.16,0.71
15,50877681664.0,Health Information Services,Healthcare,3.473,3.516,131.51,82.56,2.53,,109.173,31.243,5.86,4.03
16,13627271168.0,Software—Infrastructure,Technology,4.459,4.798,,170.58,-0.71,,822.388,26.622,7.63,1.18
17,34137997312.0,Software—Application,Technology,5.305,5.445,,-1845.0,-0.15,,-2186.689,49.773,,-0.06
18,187684749312.0,Software—Application,Technology,15.586,16.553,77.05,300.59,19.47,,339.443,46.833,12.6,4.99
19,32316606464.0,Software—Infrastructure,Technology,2.897,3.019,,428.93,-1.72,,-199.167,52.841,6.83,0.55
20,116461010944.0,Software—Application,Technology,0.963,1.081,691.64,83.51,0.85,,182.531,22.351,4.86,7.04
21,2114567168.0,Software—Infrastructure,Technology,1.418,1.571,,864.5,-0.62,,-37.101,6.37,,0.02
22,11302276096.0,Software—Application,Technology,0.09,1.075,183.27,97.4,1.13,,142.36,18.699,5.03,2.13
23,24073320448.0,Software—Application,Technology,0.097,1.082,160.64,72.86,2.49,,104.136,26.34,3.33,5.49
24,3975251200.0,Software—Infrastructure,Technology,1.702,1.787,56.61,34.66,1.79,,34.106,9.835,4.66,2.93
25,235042013184.0,Software—Application,Technology,1.188,1.334,51.01,56.13,4.74,,61.935,9.633,6.51,4.31
26,3058460928.0,Software—Application,Technology,1.091,1.165,,,-0.68,,-48.113,7.975,-75.72,
27,323756032000.0,Credit Services,Financial Services,0.317,1.29,67.22,46.78,4.1,,62.509,13.432,2.61,5.89
28,4558627840.0,Software—Infrastructure,Technology,0.933,1.126,,109.74,-0.26,,-724.983,9.001,15.38,0.39
29,14371521536.0,Software—Application,Technology,1.879,2.149,,4179.25,-0.77,,-341.799,26.175,12.46,0.04
30,78679695360.0,Software—Application,Technology,5.273,5.433,,-511.0,-3.23,,-117.083,105.245,,-0.52
31,4552363008.0,Software—Application,Technology,5.836,6.119,,,-0.8,,-118.14,26.285,,
32,13547918336.0,Software—Application,Technology,1.252,1.416,,-1480.6,-1.48,,-117.362,21.648,-108.57,-0.1
33,112281329664.0,Software—Application,Technology,3.321,3.495,130.38,80.79,2.9,,109.709,32.572,5.37,4.68
34,112594534400.0,Software—Infrastructure,Technology,0.965,1.676,345.82,117.18,0.71,,484.926,8.563,2.91,2.11
35,63198347264.0,Internet Content & Information,Communication Services,11.932,12.19,,2668.5,-3.92,,-167.122,32.146,-122.16,0.14
36,5389308416.0,Software—Application,Technology,3.16,3.315,,4707.33,-2.56,,-112.633,16.693,-1.61,0.03
37,9076876288.0,Software—Application,Technology,1.726,1.783,,-279.04,-1.02,,-76.752,21.052,,-0.26
38,6639927808.0,Software—Infrastructure,Technology,5.022,5.106,,168.22,-1.28,,-2546.681,17.121,24.65,0.68
39,37924007936.0,Software—Infrastructure,Technology,3.645,3.763,,-339.44,-2.46,,-154.654,34.618,12739,-0.73
40,57896800256.0,Software—Application,Technology,0.865,0.928,,66.59,-0.71,,358.868,13.005,5.46,3.52
41,16845476864.0,Software—Infrastructure,Technology,1.646,1.756,,-785.89,-4.46,,-72.558,15.319,297.22,-0.38
42,3229159680.0,Education & Training Services,Consumer Defensive,2.041,2.317,,-2170.0,-2.9,,-52.714,3.492,-4.59,-0.02
43,15487384576.0,Software—Application,Technology,1.596,1.746,,123.14,-1.93,,-168.545,16.141,7.42,1.06
44,4885526016.0,Software—Application,Technology,3.732,4.216,32.26,248.42,4.39,,339.95,15.714,21.65,0.57
45,5998942208.0,Software—Application,Technology,3.702,3.822,,,,,-142.64,25.626,-18.22,
46,3395024896.0,Software—Application,Technology,3.598,3.75,,-225.5,-0.99,,-56.161,15.694,-3.21,-0.18
47,5371443200.0,Software—Application,Technology,1.804,1.98,,-1129,-1.56,,-47.051,10.105,-1.41,-0.03
48,5816900608.0,Software—Application,Technology,3.687,4.022,,202.57,-2.4,,-140.708,14.134,11.79,0.51
49,8278670336.0,Software—Infrastructure,Technology,1.097,1.26,,-272.38,-1.17,,-52.325,16.315,,-0.21
50,4097919488.0,Software—Application,Technology,4.692,4.821,,,,,-205.801,22.773,-76.75,
51,1644959232.0,Software—Infrastructure,Technology,1.301,1.494,,-651.5,-0.68,,-23.103,4.648,-17.61,-0.02
52,24287598592.0,Software—Application,Technology,1.862,2.114,,171.33,-0.94,,-735.324,23.375,9.2,1.56
53,5561698816.0,Software—Application,Technology,11.689,11.877,,-192.28,-1.24,,-67.329,20.894,-5.51,-0.25
54,15927994368.0,Software—Application,Technology,0.712,0.769,,355.74,-2.63,,-172.287,33.542,-86.74,0.61
55,2230179328.0,Software—Infrastructure,Technology,2.308,2.486,,,,,-25.158,9.229,,
56,3659206144.0,Software—Application,Technology,8.317,8.395,,,,,-271.734,28.561,2.29,
