ticker,index_ticker,comment
AALB.AS,AEX,Aalberts
ABN.AS,AEX,ABN AMRO
ADYEN.AS,AEX,Adyen
AGN.AS,AEX,Aegon
AD.AS,AEX,Ahold Delhaize
AKZA.AS,AEX,Akzo Nobel
MT.AS,AEX,ArcelorMittal
ASML.AS,AEX,ASML
ASRNL.AS,AEX,ASR Nederland
DSM.AS,AEX,DSM
GLPG.AS,AEX,Galapagos
HEIA.AS,AEX,Heineken
IMCD.AS,AEX,IMCD
INGA.AS,AEX,ING Group
KPN.AS,AEX,KPN
NN.AS,AEX,Nationale Nederlanden
PHIA.AS,AEX,Philips
PRX.AS,AEX,Prosus
RAND.AS,AEX,Randstad Holding
REN.AS,AEX,RELX
RDSA.AS,AEX,Royal Dutch Shell
URW.AS,AEX,Unibail-Rodamco-Westfield
UNA.AS,AEX,Unilever
WKL.AS,AEX,Wolters Kluwer
VPK.AS,AEX,Vopak
