ticker,index_ticker,comment
AF.AS,AMX,Air France-KLM
ATC.AS,AMX,Altice
AMG.AS,AMX,AMG
APAM.AS,AMX,Aperam
ARCAD.AS,AMX,Arcadis
ASM.AS,AMX,ASM International
BAMNB.AS,AMX,Koninklijke BAM Groep
BFIT.AS,AMX,Basic-Fit
BESI.AS,AMX,BE Semiconductor
BOKA.AS,AMX,Boskalis
CRBN.AS,AMX,Corbion
ECMPA.AS,AMX,Eurocommercial Properties
FLOW.AS,AMX,Flow Traders
FUR.AS,AMX,Fugro
GVNV.AS,AMX,GrandVision
INTER.AS,AMX,Intertrust
OCI.AS,AMX,OCI
PNL.AS,AMX,PostNL
SBMO.AS,AMX,SBM Offshore
LIGHT.AS,AMX,Signify
TWEKA.AS,AMX,TKH Group
TOM2.AS,AMX,TomTom
WDP.AS,AMX,WDP
WHA.AS,AMX,Wereldhave
