ticker,index_ticker,comment
ADS.DE,DAX,Adidas
ALV.DE,DAX,Allianz
BAS.DE,DAX,BASF
BAYN.DE,DAX,Bayer
BEI.DE,DAX,Beiersdorf
BMW.DE,DAX,BMW
CON.DE,DAX,Continental
1COV.DE,DAX,Covestro
DAI.DE,DAX,Daimler
DBK.DE,DAX,Deutsche Bank
DB1.DE,DAX,Deutsche Börse
LHA.DE,DAX,Deutsche Lufthansa
DPW.DE,DAX,Deutsche Post
DTE.DE,DAX,Deutsche Telekom
EOAN.DE,DAX,E.ON
FRE.DE,DAX,Fresenius
FME.DE,DAX,Fresenius Medical Care
HEI.DE,DAX,HeidelbergCement
HEN3.DE,DAX,Henkel
IFX.DE,DAX,Infineon Technologies
LIN.DE,DAX,Linde
MRK.DE,DAX,Merck
MTX.DE,DAX,MTU Aero Engines
MUV2.DE,DAX,Munich Re
RWE.DE,DAX,RWE
SAP.DE,DAX,SAP
SIE.DE,DAX,Siemens
VOW3.DE,DAX,Volkswagen Group
VNA.DE,DAX,Vonovia
WDI.DE,DAX,Wirecard
