ticker,index_ticker,comment
AAPL,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
AXP,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
BA,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
CAT,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
CSCO,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
CVX,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
DIS,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
DOW,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
GS,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
HD,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
IBM,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
INTC,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
JNJ,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
JPM,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
KO,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
MCD,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
MMM,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
MRK,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
MSFT,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
NKE,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
PFE,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
PG,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
TRV,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
UNH,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
UTX,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
V,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
VZ,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
WBA,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
WMT,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
XOM,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
