ticker,index_ticker,comment
III.L,FTSE,3i
ADM.L,FTSE,Admiral Group
AAL.L,FTSE,Anglo American plc
ANTO.L,FTSE,Antofagasta
AHT.L,FTSE,Ashtead Group
ABF.L,FTSE,Associated British Foods
AZN.L,FTSE,AstraZeneca
AUTO.L,FTSE,Auto Trader Group
AVV.L,FTSE,Aveva
AV.L,FTSE,Aviva
BA.L,FTSE,BAE Systems
BARC.L,FTSE,Barclays
BDEV.L,FTSE,Barratt Developments
BKG.L,FTSE,Berkeley Group Holdings
BHP.L,FTSE,BHP
BP.L,FTSE,BP
BATS.L,FTSE,British American Tobacco
BLND.L,FTSE,British Land
BT.A.L,FTSE,BT Group
BNZL.L,FTSE,Bunzl
BRBY.L,FTSE,Burberry
CCL.L,FTSE,Carnival Corporation & plc
CNA.L,FTSE,Centrica
CCH.L,FTSE,Coca-Cola HBC
CPG.L,FTSE,Compass Group
CRH.L,FTSE,CRH plc
CRDA.L,FTSE,Croda International
DCC.L,FTSE,DCC plc
DGE.L,FTSE,Diageo
EZJ.L,FTSE,EasyJet
EVR.L,FTSE,Evraz
EXPN.L,FTSE,Experian
FERG.L,FTSE,Ferguson plc
FLTR.L,FTSE,Flutter Entertainment
GSK.L,FTSE,GlaxoSmithKline
GLEN.L,FTSE,Glencore
HLMA.L,FTSE,Halma
HL.L,FTSE,Hargreaves Lansdown
HSBA.L,FTSE,HSBC
HIK.L,FTSE,Hikma Pharmaceuticals
IMB.L,FTSE,Imperial Brands
INF.L,FTSE,Informa
IHG.L,FTSE,InterContinental Hotels Group
IAG.L,FTSE,International Airlines Group
ITRK.L,FTSE,Intertek
ITV.L,FTSE,ITV plc
JD.L,FTSE,JD Sports
JMAT.L,FTSE,Johnson Matthey
JE.L,FTSE,Just Eat
KGF.L,FTSE,Kingfisher plc
LAND.L,FTSE,Land Securities
LGEN.L,FTSE,Legal & General
LLOY.L,FTSE,Lloyds Banking Group
LSE.L,FTSE,London Stock Exchange Group
MNG.L,FTSE,M&G
MGGT.L,FTSE,Meggitt
MRO.L,FTSE,Melrose Industries
MNDI.L,FTSE,Mondi
MRW.L,FTSE,Morrisons
NG.L,FTSE,National Grid plc
NXT.L,FTSE,Next plc
NMC.L,FTSE,NMC Health
OCDO.L,FTSE,Ocado
PSON.L,FTSE,Pearson plc
PSN.L,FTSE,Persimmon plc
PHNX.L,FTSE,Phoenix Group
POLY.L,FTSE,Polymetal International
PRU.L,FTSE,Prudential plc
RB.L,FTSE,Reckitt Benckiser
REL.L,FTSE,RELX
RTO.L,FTSE,Rentokil Initial
RIO.L,FTSE,Rio Tinto Group
RMV.L,FTSE,Rightmove
RR.L,FTSE,Rolls-Royce Holdings
RBS.L,FTSE,Royal Bank of Scotland Group
RDSA.L,FTSE,Royal Dutch Shell
RSA.L,FTSE,RSA Insurance Group
SGE.L,FTSE,Sage Group
SBRY.L,FTSE,Sainsbury's
SDR.L,FTSE,Schroders
SMT.L,FTSE,Scottish Mortgage Investment Trust
SGRO.L,FTSE,Segro
SVT.L,FTSE,Severn Trent
SN.L,FTSE,Smith & Nephew
SMDS.L,FTSE,DS Smith
SMIN.L,FTSE,Smiths Group
SKG.L,FTSE,Smurfit Kappa
SPX.L,FTSE,Spirax-Sarco Engineering
SSE.L,FTSE,SSE plc
STAN.L,FTSE,Standard Chartered
SLA.L,FTSE,Standard Life Aberdeen
STJ.L,FTSE,St. James's Place plc
TW.L,FTSE,Taylor Wimpey
TSCO.L,FTSE,Tesco
TUI.L,FTSE,TUI Group
ULVR.L,FTSE,Unilever
UU.L,FTSE,United Utilities
VOD.L,FTSE,Vodafone Group
WTB.L,FTSE,Whitbread
WPP.L,FTSE,WPP plc
