ticker,index_ticker,comment
AAL,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
AAME,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
AAO,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
AAOI,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
AAPL,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
AAWW,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
AAX,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
AAXJ,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ABCB,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ABDC,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ABEO,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ABIO,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ABMD,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ABTX,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ABUS,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACAD,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACAM,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACAMU,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACAMW,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACBI,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACER,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACGL,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACGLO,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACGLP,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACHC,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACHV,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACIA,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACIU,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACIW,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACLS,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACMR,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACNB,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACOR,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACRS,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACRX,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACST,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACT,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACTG,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACTT,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACTTU,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACTTW,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACWI,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ACWX,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADAP,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADBE,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADES,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADI,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADIL,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADILW,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADMA,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADMP,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADMS,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADP,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADPT,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADRA,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADRD,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
ADRE,IXIC,Import all stocks in Nasdaq on 2020-01-29 16:15:09.750211
