ticker,index_ticker,comment
600000.SS,000001.SS,Shanghai Pudong Development Bank
600016.SS,000001.SS,China Minsheng Bank
600028.SS,000001.SS,Sinopec
600029.SS,000001.SS,China Southern Airlines
600030.SS,000001.SS,CITIC Securities
600036.SS,000001.SS,China Merchants Bank
600048.SS,000001.SS,Poly Real Estate
600050.SS,000001.SS,China United Network Communications
600100.SS,000001.SS,Tsinghua Tongfang
600104.SS,000001.SS,SAIC Motor
600111.SS,000001.SS,China Northern Rare Earth
600340.SS,000001.SS,China Fortune Land Development
600485.SS,000001.SS,Xinwei Group
600518.SS,000001.SS,Kangmei Pharmaceutical
600519.SS,000001.SS,Kweichow Moutai
600547.SS,000001.SS,Shandong Gold Mining
600606.SS,000001.SS,Greenland Holdings
600837.SS,000001.SS,Haitong Securities
600887.SS,000001.SS,Yili Group
600919.SS,000001.SS,Bank of Jiangsu
600958.SS,000001.SS,Orient Securities
600999.SS,000001.SS,China Merchants Securities
601006.SS,000001.SS,Daqin Railway
601088.SS,000001.SS,China Shenhua Energy
601166.SS,000001.SS,Industrial Bank
601169.SS,000001.SS,Bank of Beijing
601186.SS,000001.SS,China Railway Construction
601198.SS,000001.SS,Dongxing Securities
601211.SS,000001.SS,Guotai Junan Securities
601229.SS,000001.SS,Bank of Shanghai
601288.SS,000001.SS,Agricultural Bank of China
601318.SS,000001.SS,Ping An Insurance
601328.SS,000001.SS,Bank of Communications
601336.SS,000001.SS,New China Life Insurance
601390.SS,000001.SS,China Railway [Engineering]
601398.SS,000001.SS,Industrial and Commercial Bank of China
601601.SS,000001.SS,China Pacific Insurance
601628.SS,000001.SS,China Life Insurance
601668.SS,000001.SS,China State Construction Engineering
601688.SS,000001.SS,Huatai Securities
601766.SS,000001.SS,CRRC
601788.SS,000001.SS,Everbright Securities
601800.SS,000001.SS,China Communications Construction
601818.SS,000001.SS,China Everbright Bank
601857.SS,000001.SS,PetroChina
601881.SS,000001.SS,China Galaxy Securities
601901.SS,000001.SS,Founder Securities
601985.SS,000001.SS,China National Nuclear Power
601988.SS,000001.SS,Bank of China
601989.SS,000001.SS,China Shipbuilding Industry
